x_cm,y_cm,rssi_A,rssi_B
5,5,-65,-82
8,5,-59,-82
11,5,-70,-78
14,5,-73,-82
17,5,-73,-82
20,5,-77,-83
23,5,-79,-86
26,5,-77,-89
5,8,-61,-76
8,8,-65,-74
11,8,-65,-71
14,8,-66,-71
17,8,-67,-70
20,8,-67,-70
23,8,-77,-70
26,8,-78,-70
5,11,-72,-71
8,11,-73,-71
11,11,-74,-71
14,11,-75,-72
17,11,-68,-72
20,11,-70,-74
23,11,-83,-73
26,11,-83,-73
5,14,-85,-73
8,14,-72,-71
11,14,-73,-70
14,14,-73,-70
17,14,-73,-70
20,14,-77,-71
23,14,-81,-72
26,14,-89,-73
5,17,-78,-70
8,17,-77,-69
11,17,-73,-67
14,17,-80,-66
17,17,-81,-65
20,17,-83,-66
23,17,-82,-66
26,17,-81,-84
5,20,-85,-78
8,20,-72,-68
11,20,-74,-68
14,20,-81,-67
17,20,-82,-63
20,20,-86,-61
23,20,-83,-59
26,20,-86,-71
5,23,-77,-71
8,23,-77,-81
11,23,-77,-79
14,23,-77,-79
17,23,-78,-63
20,23,-80,-56
23,23,-79,-57
26,23,-77,-63
5,26,-79,-69
8,26,-78,-69
11,26,-75,-68
14,26,-75,-66
17,26,-76,-67
20,26,-86,-61
23,26,-84,-61
26,26,-80,-56
